id,text,symbol,source,created_at,auto_risk_label,auto_composite_score,auto_highlighted_terms,risk_label,direction_label,notes
tmpl_001,"GME to the moon! Diamond hands! Shorts are trapped! HODL!",GME,template,2026-06-08 00:00:00,High,85.5,"[""moon"",""diamond hands"",""shorts""]",,,
tmpl_002,"AMC last chance before it explodes. Buy now or miss out forever.",AMC,template,2026-06-08 00:00:00,High,72.0,"[""explodes"",""miss out""]",,,
tmpl_003,"Guaranteed easy money! Can't lose! 100% gains incoming!",GME,template,2026-06-08 00:00:00,High,90.0,"[""guaranteed"",""easy money"",""can't lose""]",,,
tmpl_004,"Short interest above 140% — mathematically impossible to sustain. This will squeeze.",GME,template,2026-06-08 00:00:00,Medium,55.0,"[""short interest"",""squeeze""]",,,
tmpl_005,"KOSS volume is exploding and everyone is watching it closely.",KOSS,template,2026-06-08 00:00:00,Medium,48.0,"[""exploding""]",,,
tmpl_006,"BlackBerry meme-stock attention picking up. Thesis is mixed.",BB,template,2026-06-08 00:00:00,Medium,40.0,"[""meme-stock""]",,,
tmpl_007,"NVIDIA strong earnings beat on AI demand. Long-term hold.",NVDA,template,2026-06-08 00:00:00,Low,15.0,"[""earnings""]",,,
tmpl_008,"Tesla discussion is bullish but mostly based on earnings expectations.",TSLA,template,2026-06-08 00:00:00,Low,20.0,"[]",,,
tmpl_009,"I hate this stock, it just keeps going down. Thinking of selling.",GME,template,2026-06-08 00:00:00,Low,10.0,"[]",,,
tmpl_010,"Not sure about AMC anymore. Fundamental thesis seems weak.",AMC,template,2026-06-08 00:00:00,Low,12.0,"[]",,,
tmpl_011,"This is totally unrelated to stocks: I had pizza for lunch today.",,template,2026-06-08 00:00:00,Low,0.0,"[]",,,
tmpl_012,"Weather is nice today. Nothing financial here.",,template,2026-06-08 00:00:00,Low,0.0,"[]",,,
tmpl_013,"The movie was good. Not sure what to watch next.",,template,2026-06-08 00:00:00,Low,0.0,"[]",,,
tmpl_014,"brabrabra aslkdjf qwerty random text no financial content.",,template,2026-06-08 00:00:00,Low,0.0,"[]",,,
